objectid,filename,youtubeid,title,format,description,creator,recipient,date,date-is-approximate?,item_information,subject,location,latitude,longitude,related_publication,publisher-digital,source,findingaid,original-identifier,identifier,rights,rightsstatement,type,language,relation
psychiana001,image00.png,,"Stephen Leacock, age 72",image/png,"Stephen Butler Leacock, signed photograph, 1941.",,,1941,,single-page; photographs,,,,,,,"McGarvey, Pete., and Daphne. Mainprize. The Stephen Leacock Picture Book. Toronto: Dundurn Pr., 1998.",,1550023144,image00,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. In addition, no permission is required from the rights-holder(s) for educational uses. For other uses, you need to obtain permission from the rights-holder(s).",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,
psychiana002,image01.png,,Swanmore Cottage,image/png,"The tiled cottage in Swanmore, Hampshire, England, where Stephen Leacock was born on December 30, 1869. ",,,1869,,single-page; photographs,,,,,,,"McGarvey, Pete., and Daphne. Mainprize. The Stephen Leacock Picture Book. Toronto: Dundurn Pr., 1998.",,1550023144,image01,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. In addition, no permission is required from the rights-holder(s) for educational uses. For other uses, you need to obtain permission from the rights-holder(s).",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,
psychiana003,image02.png,,Agnes Leacock,image/png,"Agnes Emma Leacock, Stephen’s mother, c. 1866.",,,1866,,single-page; photographs,,,,,,,"McGarvey, Pete., and Daphne. Mainprize. The Stephen Leacock Picture Book. Toronto: Dundurn Pr., 1998.",,1550023144,image02,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. In addition, no permission is required from the rights-holder(s) for educational uses. For other uses, you need to obtain permission from the rights-holder(s).",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,
psychiana004,image03.png,,Walter Leacock,image/png,"Walter Peter Leacock, Stephen’s father in a studio sitting, c. 1866.",,,1866,,single-page; photographs,,,,,,,"McGarvey, Pete., and Daphne. Mainprize. The Stephen Leacock Picture Book. Toronto: Dundurn Pr., 1998.",,1550023144,image03,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. In addition, no permission is required from the rights-holder(s) for educational uses. For other uses, you need to obtain permission from the rights-holder(s).",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,
psychiana005,image04.png,,"Stephen Leacock, age 6",image/png,"Stephen Butler Leacock, age 6, Ryde, Isle of Wight, 1876.",,,1876,,single-page; photographs,,,,,,,"McGarvey, Pete., and Daphne. Mainprize. The Stephen Leacock Picture Book. Toronto: Dundurn Pr., 1998.",,1550023144,image04,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. In addition, no permission is required from the rights-holder(s) for educational uses. For other uses, you need to obtain permission from the rights-holder(s).",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,
psychiana006,image05.png,,"Farmhouse in Egypt, On.",image/png,"The farm home at Egypt. It is a misery of a place, remembered by Leacock for its stench and unending toil.",,,,,single-page; photographs,,,,,,,"McGarvey, Pete., and Daphne. Mainprize. The Stephen Leacock Picture Book. Toronto: Dundurn Pr., 1998.",,1550023144,image05,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. In addition, no permission is required from the rights-holder(s) for educational uses. For other uses, you need to obtain permission from the rights-holder(s).",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,
psychiana007,image06.png,,Family Portrait,image/png,"Family portrait, c. 1890. Left to right: Teddy (Edward Peter, b. January 6, 1875) with Gyp, the family pet; Charlie (Charles John Gladstone, b. December 6, 1871); Stephen (Stephen Butler b. December 30, 1869); Dot (Rosamond, b. May 28, 1884); Carrie (Caroline, b. August 10, 1878); Agnes Butler Leacock, Daisy (Margaret, b. September 10, 1886); Jim (Thomas James, b. July 24, 1867); Maymie (Maymie Douglas, b. December 24, 1880); Missie (Agnes Arabella, b. March 15, 1873); and George (b. March 1, 1877). Missing is Dick (Arthur Murdoch, b. July 1867)",,,1890,,single-page; photographs,,,,,,,"McGarvey, Pete., and Daphne. Mainprize. The Stephen Leacock Picture Book. Toronto: Dundurn Pr., 1998.",,1550023144,image06,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. In addition, no permission is required from the rights-holder(s) for educational uses. For other uses, you need to obtain permission from the rights-holder(s).",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,
psychiana008,image07.png,,Beatrix Hamilton,image/png,"Beatrix (“Trix”) Hamilton, stephen Leacock’s bride, in 1900. Trix was an actress, and their marriage occurred on the “Little Church around he Corner” near Broadway’s Great White Way.",,,1900,,single-page; photographs,,,,,,,"McGarvey, Pete., and Daphne. Mainprize. The Stephen Leacock Picture Book. Toronto: Dundurn Pr., 1998.",,1550023144,image07,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. In addition, no permission is required from the rights-holder(s) for educational uses. For other uses, you need to obtain permission from the rights-holder(s).",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,
psychiana009,image09.png,,Family photo at Old Brewery Bay,image/png,"Family group photo at the cookhouse, the first of the buildings on Leacock’s summer property in Orillia, c. 1909. Stephen Leacock is in the wheelbarrow.",,,1909,,single-page; photographs,,,,,,,"McGarvey, Pete., and Daphne. Mainprize. The Stephen Leacock Picture Book. Toronto: Dundurn Pr., 1998.",,1550023144,image09,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. In addition, no permission is required from the rights-holder(s) for educational uses. For other uses, you need to obtain permission from the rights-holder(s).",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,
psychiana010,image10.png,,Print of the Jackson Brewery,image/png,"Print of the Jackson Brewery, which flourished on the lakeshore in the 1880s. By the time Leacock bought his property in 1908, it lay in ruins, and was the source for the bay being named Old Brewery Bay.",,,,,single-page; photographs,,,,,,,"McGarvey, Pete., and Daphne. Mainprize. The Stephen Leacock Picture Book. Toronto: Dundurn Pr., 1998.",,1550023144,image10,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. In addition, no permission is required from the rights-holder(s) for educational uses. For other uses, you need to obtain permission from the rights-holder(s).",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,
